;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
318;CCCCCCCCCCCC(OCCCC)=O;748.5;14.85;0.852;722.30;14.39;0.84
319;CCCCC(CC)CNCC(CC)CCCC;729.34;14.61;0.798;701.52;14.72;0.92
320;OCCC(C)CCCC(C)C;671.92;23.03;0.828;655.99;23.88;0.71
321;OCCC(C)CCC=C(C)C;680.33;23.18;0.867;681.88;23.19;0.66
322;OCC=C(C)CCC=C(C)C;688.4;23.14;0.905;695.80;23.26;0.76
323;CC(C)CCOC(CCC)=O;637.65;23.32;0.546;618.97;22.98;0.57
324;CCCCCCC(OCC)=O;642.95;23.21;0.561;644.59;22.27;0.51
325;CCCC(OC(CCC)=O)=O;661.68;26.32;0.875;647.69;29.58;0.62
326;CCCCCCCC(OCC)=O;661.31;21.42;0.604;652.44;21.30;0.60
327;CCCCCCCCCCCC(OCC)=O;722.93;16.48;0.771;714.31;15.25;0.70
328;CCCCC(CC)=O;596.91;29.44;0.438;605.08;29.74;0.40
329;CCCOC(CC)=O;577.07;30.91;0.431;567.14;30.59;0.45
330;Brc1ccc(Br)cc1;744.84;45.59;0.286;723.47;44.71;0.32
331;Cc1ccc(Br)cc1;693.84;40.74;0.304;678.87;41.98;0.35
332;Clc1ccc(Br)cc1;718.31;42.83;0.373;692.43;40.77;0.31
333;Nc1ccc(Br)cc1;760.84;48.13;0.44;740.68;46.86;0.36
334;Oc1ccc(Br)cc1;753.24;57.06;0.424;706.89;50.13;0.48
335;Cc1ccc(C)cc1;628.31;36.74;0.322;615.35;35.33;0.32
336;Cc1ccc(Cl)cc1;660.27;38.47;0.302;661.48;39.10;0.33
337;Oc1ccc(C)cc1;704.27;50.06;0.441;704.45;51.40;0.51
338;Cc1ccc(S)cc1;706.07;40.79;0.311;703.48;41.90;0.34
339;Clc1ccc(Cl)cc1;688.34;40.35;0.311;684.89;40.57;0.29
340;Nc1ccc(Cl)cc1;736.19;45.11;0.423;744.46;45.91;0.43
341;Oc1ccc(Cl)cc1;727.72;53.06;0.476;738.18;51.58;0.49
342;Nc1ccc(C)cc1;713.63;42.83;0.458;711.34;42.94;0.35
343;Nc1ccc(N)cc1;775.81;50.92;0.593;796.12;51.76;0.54
344;O=C1C=CC(=O)C=C1;805.46;59.88;0.411;678.93;59.59;0.51
345;OC1CCN(C)CC1;702.74;39.45;0.66;686.97;42.21;0.61
346;Clc1ccc(S)cc1;729.34;42.88;0.321;724.11;41.35;0.29
347;O=C1NCC(=O)NC1;858.65;74.29;0.575;871.05;59.11;0.65
348;CN1CCN(C)CC1;690.49;35.67;0.259;621.55;35.49;0.39
349;CC(C)COC(=O)C=C;597.68;29.46;0.442;586.78;29.68;0.46
350;COC(CCC(OC)=O)=O;632.67;30.93;0.567;660.35;32.79;0.64
351;CCCCCC(CC)=O;619.13;26.64;0.481;628.43;26.98;0.44
352;OCCCCC(O)CO;742.99;43.59;1.387;799.08;40.73;0.94
353;CCCCCC(OC)=O;601.18;27.85;0.474;612.98;28.32;0.45
354;CC(CCC=C(C)C)C=O;638.65;24.03;0.627;652.06;24.76;0.47
355;CCCCCCC(OC)=O;623.01;25.32;0.518;637.63;25.09;0.45
356;CCOCCOC(=O)C=C;621.75;28.33;0.553;620.67;28.02;0.58
357;C=CC1CC2OC2CC1;624.98;34.64;0.261;663.67;35.75;0.43
358;C1OC1C1CC2OC2CC1;709.47;35.82;0.322;724.62;36.10;0.54
359;CCC1OC1;534.9;43.12;0.226;526.08;43.93;0.23
360;ClCC1OC1;598.04;48.51;0.262;612.36;48.98;0.28
361;C=CC(OCC1OC1)=O;644.46;35.41;0.479;676.73;37.91;0.57
362;CC(=C)C(OCC1OC1)=O;661.96;31.42;0.501;674.35;30.80;0.44
363;C=CCOCC1OC1;610.81;33.69;0.385;629.60;36.78;0.41
364;BrCCBr;568.21;62.37;0.198;646.56;54.98;0.21
365;CCCBr;506.01;48.56;0.203;535.44;45.77;0.28
366;BrCC=C;510.44;51.86;0.19;550.50;47.82;0.23
367;BrCC#C;523.63;60.78;0.253;596.81;50.01;0.23
368;CCCC;420.66;39.27;0.208;421.67;38.07;0.19
369;C=CC=C;445.99;44.43;0.193;427.26;43.13;0.13
370;SC(CCCCC(S)=O)=O;784.12;34.24;0.717;814.47;36.08;0.72
371;COC(=O)Nc1[nH]c2ccccc2n1;636.62;27.45;0.425;916.23;37.13;0.90
372;O(CCC1C2CCOC2)C1;705.67;35.05;0.475;727.03;37.66;0.40
373;CCC(C)(CC)CC;555.14;25.68;0.321;576.80;28.13;0.30
374;CCC(CC)(CC)CC;581.51;23.51;0.365;608.13;26.11;0.34
375;CCCC(C)(C)CCC;581.51;23.51;0.365;578.59;23.55;0.39
376;CC(=O)NN;624.8;61.32;0.573;797.99;62.93;0.48
377;CCC(C(C)C)C(C)C;570.32;23.59;0.373;591.24;25.34;0.35
378;CC(C)CC(C)C(C)C;581.06;24.07;0.372;576.65;23.76;0.39
379;CCC#C;445.74;47.51;0.259;439.69;45.93;0.25
380;O=CC=C;508.87;53.58;0.35;503.22;50.19;0.28
381;CCCS;550.53;45.81;0.232;536.74;46.34;0.23
382;ClCCBr;576.38;55.23;0.239;592.64;54.93;0.27
383;ClCC=C;520.87;46.56;0.231;510.98;47.10;0.15
384;ClCCCl;584.27;49.36;0.282;561.69;53.69;0.29
385;OCCCl;589.67;58.07;0.607;590.32;58.44;0.64
386;CCCI;593;50.39;0.19;584.16;40.48;0.25
387;NCCBr;610.43;62.94;0.307;581.35;53.42;0.43
388;NCCC;559.84;48.94;0.312;493.46;47.57;0.30
389;NCC=C;563.36;52.28;0.298;508.71;51.71;0.33
390;CCC#N;622.06;43.1;0.321;551.19;42.63;0.31
391;N#CC=C;537.99;45.05;0.298;544.32;46.62;0.31
392;ClCC#N;656.2;48.45;0.33;594.37;49.95;0.31
393;NCCN;593;62.9;0.418;592.54;62.91;0.42
394;OCC#N;670.94;56.92;0.75;664.50;59.47;0.80
395;OCC=C;527.95;54.41;0.556;544.58;56.21;0.57
396;OCC#C;540.21;64.12;0.621;582.75;61.91;0.47
397;ClCC=O;575.71;56.55;0.398;554.26;53.69;0.34
398;OCCO;626.86;74.76;1.121;710.88;81.99;0.50
399;O=CC=O;566.82;65.7;0.515;484.06;64.16;0.38
400;COC=C;448.61;47.93;0.222;436.94;46.84;0.24
401;ON=CC;599.91;49.38;0.606;574.61;59.48;0.60
402;COCCl;525.29;50.13;0.269;518.52;50.33;0.28
403;COC=O;461.47;54.98;0.258;501.43;58.21;0.26
404;[NH3+]CCS([O-])(=O)=O;632.12;33.94;0.357;794.59;40.46;0.51
405;CC(C)(C)CC(C)=C;553.83;26.57;0.304;553.00;26.82;0.30
406;CC(C)(C)C=C(C)C;554.18;26.11;0.366;554.52;26.77;0.30
407;OC(C)CC(O)(C)C;633.03;37.01;1.063;660.34;34.49;0.87
408;CC(C)(C)SC(C)(C)C;656.01;26.82;0.279;615.40;25.92;0.28
409;CC(C)(C)OC(CCl)=O;628.68;30.66;0.409;583.74;28.68;0.37
410;C[NH2+]CCS([O-])(=O)=O;630.42;29.5;0.454;808.90;41.41;0.55
411;COC(C)(C)CC(C)=O;630.42;29.5;0.454;626.33;28.02;0.47
412;OCCC(C)CCCC(O)(C)C;708.99;24.33;1.202;723.04;24.60;0.85
413;OC(C)(C)CCCC(C)CC=O;700.76;24.01;1.023;697.39;21.94;0.84
414;CCCC(C)Br;560.02;37.15;0.268;604.34;40.51;0.26
415;BrCCC(C)C;559.05;36.99;0.273;630.43;34.85;0.36
416;CCCC(C)C;493.94;31.07;0.278;496.73;30.46;0.28
417;ClCCC(C)C;567.54;34;0.316;561.07;32.18;0.31
418;NCCC(C)C;602.82;37.22;0.384;546.80;36.57;0.43
419;CC(C)=CC=O;572.07;38.25;0.478;577.54;38.81;0.34
420;CCCC(C)=O;562.5;36.91;0.358;561.50;36.74;0.35
421;OCCC(O)C;622.68;49.6;0.984;678.15;48.21;0.75
422;OC(C)CC=O;610.63;48.44;0.793;627.38;44.77;0.79
423;N#CCC(=O)N;841.77;52.27;0.637;784.34;55.08;0.63
424;CCCC(O)=O;681.11;42.9;0.613;615.25;43.10;0.68
425;CC=CC(O)=O;663.63;45.22;0.602;652.72;46.99;0.57
426;ClCCC(O)=O;716.79;48.23;0.649;665.66;49.90;0.67
427;NCCC(O)=O;735.96;54.31;0.715;772.94;54.57;0.87
428;SCCC(O)=O;729;50.2;0.609;728.50;50.46;0.59
429;CNCC(O)=O;1021.71;53.16;0.758;701.27;49.85;0.72
430;COCC(O)C;564.77;42.6;0.67;579.79;41.57;0.44
431;ClCCN(C)C;581.26;35.6;0.358;590.04;36.55;0.30
432;CCOC(CCC(O)=O)=O;744.16;33.23;0.826;705.32;32.06;0.72
433;N#CC#C;573.21;52.04;0.254;559.04;49.09;0.25
434;CC(C)(C)CC(O)=O;704.46;33.73;0.645;641.14;32.64;0.69
435;CC(C)(C)CC(C)(C)C;565.61;23.73;0.317;570.65;23.82;0.32
436;CCCCCC(C)(C)C;578.16;23.46;0.37;576.19;23.21;0.39
437;OCCCC(C)=O;643.84;40.85;0.758;662.84;40.19;0.72
438;CC(C)(C)CCC(C)(C)C;590.87;21.87;0.36;586.73;21.89;0.37
439;N#CC#CC#N;702.5;41.17;0.442;585.66;43.87;0.30
440;OC1CC2CC1C1C2C2CC1CC2;755.31;29.8;0.467;772.63;24.54;0.63
441;CC(C)CCCC(C)C;576.49;23.41;0.394;578.73;22.97;0.39
442;CC(C)CCCCC(C)C;600.66;21.59;0.438;604.22;21.91;0.44
443;CCCCCCCCCCCCCOC(C)=O;735.48;15.51;0.874;721.77;14.62;0.85
444;COCCOCCOCCOCCOCCOCCOC;773.13;14.96;1.16;822.87;14.04;1.26
445;CC1CS1;536.19;52;0.188;581.07;54.00;0.14
446;CN1CC1;530.21;52.73;0.163;489.80;54.71;0.18
447;OCCN1CC1;641.67;50.86;0.561;667.35;55.33;0.45
448;CCc1[nH]ccn1;829.27;72.06;0.529;678.29;49.25;0.49
449;C=Cn1ccnc1;829.27;72.06;0.529;656.52;56.01;0.36
450;Nc1cc(C)on1;689.61;54.84;0.489;724.90;55.70;0.53
451;O=C1CCSCC1;750.88;50.51;0.345;726.81;44.61;0.31
452;CCCCCCCCCCl;659.67;22.8;0.506;662.31;20.38;0.50
453;Brc1cc2C(=O)C(Nc2c(Br)c1)=C(Nc1c(Br)c2)C(c1cc2Br)=O;1495.61;47.3;1.768;946.41;29.46;0.70
454;OC(=O)c(ccc1N)cc1C;824.24;38.87;0.898;864.47;40.06;0.84
455;CNC(=S)N(C)C;575.66;43.04;0.556;688.03;42.16;0.42
456;OC(=O)CNC=O;687.17;55.27;0.872;750.23;56.49;0.98
457;CN(C)c1ccc(N=Nc2ccc(cc2)N(=O)=O)cc1;1166.66;21;0.918;895.13;22.21;0.99
458;CC=CCS(c(cc1)ccc1C)(=O)=O;725.07;23.96;0.618;825.00;29.55;0.60
459;CCCCCCCCCCCCCCCCOC(=O)C(C)=C;793.27;12.78;0.876;776.02;9.41;0.92
460;N#Cc1cc(C=O)ccc1;770.18;36.7;0.62;758.17;33.05;0.56
461;CCC(=O)C=CC;579.82;34.05;0.383;587.73;33.40;0.35
462;CC(C)(C)c(cc1C(C)(C)C)cc(C(C)(C)C)c1N=O;920.64;14.56;0.668;733.24;20.26;0.59
463;Nc1ccc(cc1)C(=N)N;785.66;44.92;0.61;892.82;44.21;0.83
464;O=C1c2ccc3ccccc3c2C(=O)c2ccccc12;1009.22;30.35;0.478;974.56;26.34;0.73
465;CCC(=O)C(C)=C;574.06;34.62;0.375;582.60;33.12;0.33
466;CC(C)N1C(c2ccccc2NS1(=O)=O)=O;968.11;32.71;0.735;860.36;33.55;0.67
467;OCCCCCN;683.52;40.61;0.797;659.91;38.00;0.98
468;SCCCCCCCCC(C)(C)C;716.48;18.87;0.563;699.93;17.99;0.62
469;C(CC1)CCN1SN1CCCCC1;798.88;26.98;0.497;791.56;33.77;0.30
470;OC1CCCC1C;635.16;39.6;0.571;592.40;41.97;0.66
471;CCCCCC=CC=CC=O;681.24;23.64;0.64;666.88;26.32;0.73
472;NC1CCC1;544.33;52.35;0.308;554.21;48.57;0.31
473;OC(C1CCN1)=O;748.38;55.18;0.649;777.45;52.89;0.82
474;OCCC(C)OC;604.74;38.03;0.701;605.84;36.80;0.67
475;Nc1cccc2c1C(=O)NC2=O;921.46;53.52;0.85;917.52;46.66;0.78
476;OC(C)(CC=C)CC=C;620.82;29.35;0.757;624.20;25.32;0.66
477;CC1c2ccccc2c2ccccc12;832.5;40.64;0.438;832.59;27.64;0.46
478;CCOP(Cl)(OCC)=S;790.87;35.07;0.529;656.89;41.47;0.54
479;CCOC(=O)c1ccccn1;704.22;32.88;0.538;703.78;33.06;0.54
480;C#CCS(c1ccccc1)(=O)=O;772.05;33.99;0.574;864.84;40.68;0.57
481;CC#CS(c1ccccc1)(=O)=O;772.05;33.99;0.574;799.29;38.48;0.50
482;C=C=CS(c1ccccc1)(=O)=O;772.05;33.99;0.574;836.51;39.17;0.43
483;Sc1ccsc1C;709.55;42.99;0.273;676.60;46.70;0.32
484;COc1ccc(cc1Cl)NC(=O)N;888.94;38.77;0.933;889.18;39.31;0.79
485;CCCCCCC(Cl)=O;653.67;28.8;0.536;615.56;27.28;0.45
486;O=C1N=CNC(C1)=O;826.87;65.88;0.546;919.27;58.02;0.56
487;OC(=O)c(c(C)ccc1C)c1C;801.51;32.09;0.823;765.96;38.11;0.69
488;OC(=O)c(cc1C)c(C)c(C)c1C;796.52;27.22;0.873;792.89;37.55;0.68
489;n1cc2ccccc2cn1;789.39;49.45;0.441;836.19;44.23;0.45
490;n1nc2ccccc2cc1;789.39;49.45;0.441;827.93;43.90;0.43
491;c1nc2ccccc2cn1;789.39;49.45;0.441;795.51;49.73;0.38
492;CC(=O)c1cc(C)sc1C;712.77;31.29;0.444;735.39;37.80;0.45
493;O=N(c1cccnc1)=O;743.71;45.04;0.493;745.64;43.21;0.46
494;CCOC(=O)C(C)N(=O)=O;682.29;34.35;0.627;687.12;33.10;0.68
495;OC(C)C=CC1C(C)=CCCC1(C)C;735.5;22.04;0.83;729.20;22.87;0.74
496;CN(N(=O)=O)N(=O)=O;786.86;59.91;0.637;732.46;51.63;0.65
497;CCCCCCC(C)(C)S;649.06;23.68;0.421;655.69;23.41;0.45
498;C1C=Cc2ccccc2O1;721.11;38.87;0.357;754.38;38.41;0.45
499;c(ccc1nc2)nc1cc2;812.96;55.39;0.441;777.79;49.49;0.35
500;n1nc2ccccc2nc1;804.58;56.23;0.494;829.65;46.82;0.43
501;COc1occc1;599.61;48.65;0.341;573.44;46.99;0.39
502;CC(C)CCC(OCC)=O;617.22;25.45;0.502;623.49;24.27;0.50
503;CNCCCCC;567.45;31.58;0.489;570.27;31.69;0.45
504;CCC1NC1;582.58;46.73;0.2;562.59;45.11;0.30
505;CC(CCc1ccccc1)=O;708.09;30.48;0.495;722.99;30.17;0.53
506;CC(CCC#C)=O;600.59;38.55;0.454;615.42;37.74;0.43
507;C(CC1)CCC1SSC1CCCCC1;779.69;22.18;0.462;819.44;26.88;0.51
508;O=C1CCCCCCCCCCCCCCC1;857.94;21.12;0.735;769.90;19.97;0.81
509;ClC(Cl)C#C;568.46;49.7;0.339;604.84;47.21;0.26
510;CN(C)C(N(C)C)=Nc1ccccc1;796.78;23.87;0.577;782.74;31.55;0.39
511;CN1CCCCCC1=O;772.08;38.37;0.221;743.27;38.66;0.37
512;c(ccc1[nH]c2ccccc2c2)cc1c2;751.1;36.7;0.622;913.49;31.13;0.60
513;CCOc1cc(C)ccc1O;751.1;36.7;0.622;734.72;35.45;0.65
514;ClC=O;530.03;67.86;0.273;448.41;64.69;0.29
515;CC=CCC(C)=O;595.57;33.69;0.388;586.79;34.31;0.38
516;ClCC=C(Cl)Cl;655.16;41.84;0.273;616.29;43.04;0.32
517;OCCC(O)(C)C;627.93;41.86;1.034;658.33;41.78;0.97
518;CCCCOCOCCCC;626.33;22;0.598;618.31;22.85;0.52
519;CC(C)COCOCC(C)C;614.77;22.19;0.568;601.02;23.27;0.47
520;CCC1OCCO1;607.12;40.81;0.372;568.92;39.75;0.37
521;COc1nccnc1CC;718.09;37.81;0.512;668.27;38.34;0.43
522;CCCCC(CC)CC=O;649.11;24.65;0.6;639.82;23.48;0.65
523;Cc(cc1C)cc(C)c1C#N;751.6;29.68;0.554;737.62;29.92;0.55
524;COc(cc1OC)cc(OC)c1C#N;798.82;27.84;0.795;802.66;31.32;0.69
525;OCCCC=O;626.49;47.91;0.802;598.64;46.77;0.84
526;COc1nccnc1C(C)C;727.81;34.23;0.528;671.63;33.48;0.46
527;ClCC=C=C;568.54;42.32;0.332;563.83;43.90;0.20
528;Oc(ccc1N(=O)=O)cc1C;795;44.34;0.745;771.04;38.06;0.70
529;CCC(C)C(OCC(COC(C(C)CC)=O)(COC(C(C)CC)=O)COC(C(C)CC)=O)=O;873.58;10.8;0.733;753.04;16.88;1.00
530;CCCC(C)C(OCC(COC(C(C)CCC)=O)(COC(C(C)CCC)=O)COC(C(C)CCC)=O)=O;900.18;9.83;0.417;805.94;14.47;1.02
531;CCCC#CCC;576.26;31.55;0.266;566.91;31.23;0.22
532;c1cc2c3ccccc3c2cc1;847.47;88.24;0.402;840.65;32.00;0.39
533;O=CN1CCCCC1;688.05;41.65;0.476;719.51;41.06;0.36
534;OCCOCCOCCOCCCCCC;756.76;18.35;1.219;715.04;20.78;1.26
535;OCC(O)C(O)C(O)C=O;819.29;70.42;1.77;915.48;51.06;0.97
536;COCCOCCOCCOCCOCCOCCOCCOCCOC;827.52;12.33;1.441;901.78;10.90;1.37
537;COCCOCCOCCOCCOCCOCCOCCOCCO;847.69;13.24;1.102;898.91;13.36;1.11
538;c(ccc1cc2ccccc2c2)nc21;894.24;32.61;0.548;911.91;34.07;0.48
539;c(ccc1cc2ccccc2n2)cc21;905;36.4;0.548;902.80;33.96;0.44
540;CC1(C)C(C1C(OCc1cc(Oc2ccccc2)ccc1)=O)C=C(C)C;883.64;14.84;0.883;855.55;16.07;0.74
541;COC(=O)Nc1ccccc1;734.84;37.32;0.6;780.66;34.00;0.56
542;OC(=O)c(c1C)c(C)c(C)cc1C;796.52;27.22;0.873;778.78;36.82;0.66
543;CC1CCCOC1;593.05;38.58;0.283;575.22;38.80;0.28
544;C1c2ccccc2Sc2ccccc12;865.55;30.11;0.501;885.22;34.55;0.48
545;FC(F)OC(C(F)(F)F)C(F)(F)F;440.79;21.74;0.544;478.20;26.68;0.36
546;C=CC=CC=C;540.98;35.18;0.271;533.39;33.74;0.19
547;CC(C)CC(C)CC(C)C;595.1;21.74;0.417;579.79;21.28;0.49
548;CC(CC1C)CC1C;573.66;28.72;0.28;575.18;28.83;0.27
549;OCCOCCOCCOCCOCCOCCO;821.1;18.51;1.561;838.21;20.02;0.93
550;CCCCCSCC;631.07;27.48;0.42;631.21;27.96;0.43
551;O=S(c1ccccc1)(=O)NS(c1ccccc1)(=O)=O;689.92;19.24;0.763;932.77;45.20;0.67
552;O1c2ccccc2Oc2ccccc12;816.62;33.01;0.585;861.81;36.56;0.45
553;O1c2ccccc2Sc2ccccc12;834.9;32.48;0.544;864.94;36.36;0.44
554;CC(=O)NCC(=O)N;729.58;50.59;0.833;870.07;47.16;0.67
555;CC(C)c(cc1)ccc1Cl;687.21;30.46;0.366;668.09;28.62;0.36
556;C=CC1=CCCCC1;615.2;35.25;0.299;606.56;34.76;0.34
557;Cc1c2ncccc2c(C)cc1;802.72;33.42;0.489;778.05;36.28;0.42
558;ClNC(C)C;521.91;45.07;0.335;586.08;42.65;0.31
559;CCC(C)Nc(nc1OC)nc(NCC)n1;869.87;30.56;1.085;825.79;33.98;0.75
560;Oc1ccc(C=C)cc1;728.53;44.87;0.472;736.39;45.21;0.51
561;OCCCc1ccncc1;731.73;38.36;0.874;727.44;40.60;0.88
562;S=C1NC=CC=C1;641.11;62.89;0.39;697.23;51.27;0.34
563;CCCCCCOC(CCC)=O;661.31;21.42;0.604;648.22;21.78;0.59
564;CCCN(CC1CC1)c1c(cc(C(F)(F)F)cc1N(=O)=O)N(=O)=O;896.77;17.61;1.168;717.20;28.49;0.75
565;CCOP(OCC)(SCN1N=Nc2ccccc2C1=O)=S;671.86;14.88;0.765;860.98;28.26;0.90
566;Nc1c2ccccc2c2ccc3ccccc3c2c1;970.36;26.61;0.718;1008.24;26.39;0.68
567;CCCCCCCCCc1c2ccccc2ccc1;843.35;17.47;0.707;835.42;16.82;0.72
568;CCCCCCCCCCc1c2ccccc2ccc1;851.24;16.48;0.748;842.39;15.17;0.75
569;OCC(O)COC(C)=O;703.31;46.84;1.188;754.13;44.20;0.95
570;CC12C3CC(CC45)CC1C5CC(CC43)C2;698.59;22.87;0.024;786.15;23.64;0.52
571;CC(C1C2C3)=CCC1C3C=C2C;695.61;28.16;0.407;684.07;26.39;0.40
572;CC1=CCC=C1;545.29;44.44;0.268;546.59;44.04;0.22
573;CCOc1cc(Cl)ccc1;698.58;32.79;0.424;694.35;30.88;0.48
574;CC1(C)NC1;563.49;45.95;0.194;546.96;45.80;0.27
575;ClC(Cl)(Cl)C(N1CCN(CC1)C(C(Cl)(Cl)Cl)NC=O)NC=O;1028.27;23.77;1.108;806.58;23.52;0.51
576;FC(F)OC(Cl)C(F)(F)F;501.13;28.28;0.415;472.32;34.59;0.39
577;COc1cc(Cl)c(Cl)c(Cl)c1O;814.78;37.09;0.74;775.11;34.22;0.66
578;CC(C)(C)c1cc(c2ccccc2)cc(C(C)(C)C)c1O;920.68;21.23;0.827;809.61;18.51;0.74
579;CC(C)CCCCCC=C;609.75;22.21;0.439;615.30;21.72;0.45
580;COc1cc(Cl)c(OC)cc1Cl;761.44;30.36;0.561;752.53;30.65;0.59
581;ClCC(=O)N(C)C;711.77;39.2;0.447;692.16;40.75;0.45
582;OOc1cc(C(C)C)cc(C(C)C)c1;762.49;23.33;0.964;735.56;28.58;0.79
583;CNCCC(O)=O;712.89;44.16;0.799;756.16;45.42;0.86
584;CCOC(C)CC;523.06;30.11;0.36;516.75;31.06;0.35
585;c(ccc1cc2sc3)cc1cc2c3;877.31;29.22;0.484;870.98;35.09;0.46
586;Nc1cccc(C)c1N;794.09;46.68;0.646;782.87;42.79;0.59
587;CCCCCCCCN1CCCC1=O;813.75;21.89;0.282;770.33;22.23;0.64
588;CCCCCCCCCCCCN1CCCC1=O;847.66;16.74;0.331;805.98;15.76;0.85
589;CCCCCCCCSCCCCCCCC;764.79;14.76;0.802;767.28;16.81;0.79
590;C1CC1C(C1CC1)(C1CC1)C(C1CC1)(C1CC1)C1CC1;780.64;19.15;0.249;712.48;24.57;0.57
591;O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O;816.93;32.93;3.287;999.33;27.54;1.12
592;Fc1nc(F)c(F)c(O)c1F;688.52;48.69;0.722;619.36;47.85;0.61
593;OCCCCCC(C)C;640.15;27.36;0.765;619.14;27.63;0.74
594;CCCc(cc1)ccc1N;738.85;32.53;0.534;723.95;31.15;0.50
595;ClN=O;476.55;61.71;0.284;453.30;85.05;0.34
596;FS(F)(=O)=O;681.52;63.13;0.73;365.03;54.45;0.34
597;N#CC(=Cc1ccccc1)C#N;796.27;25.18;0.666;789.02;28.11;0.56
598;CC(C)N(C(C)C)C=O;622.1;26.08;0.5;622.33;26.24;0.34
599;C=CCOC(CCC1CCCCC1)=O;722.77;22.2;0.528;716.71;24.31;0.67
600;NCCc1ccccn1;717.69;40.1;0.514;726.55;39.76;0.53
601;c(ncc1sc2)cc1c2;808.97;50.39;0.379;766.24;51.62;0.32
602;c1cc2cc[nH]c2cn1;770.47;40.99;0.444;810.45;50.13;0.44
603;n1cc2cc[nH]c2cc1;770.47;40.99;0.444;813.89;49.00;0.48
604;c1cc2cn[nH]c2cc1;770.47;40.99;0.444;848.09;45.42;0.43
605;c1cc2nocc2cc1;770.47;40.99;0.444;759.66;50.81;0.44
606;n1cc2cn[nH]c2nc1;701.02;42.94;0.369;832.02;50.72;0.49
607;c1cc2ccoc2cc1;701.02;42.94;0.369;720.01;45.58;0.32
608;c1cc2cnoc2cc1;729.76;52.28;0.417;767.21;50.78;0.41
609;CCCCCCCC(CCc(ccc1O)cc1OC)=O;849;18.42;1.01;847.69;20.04;1.12
610;ClSC(F)(Cl)Cl;624.72;48.63;0.263;562.19;38.54;0.06
611;Cc1ccc(C)c2c1c(C)ccc2C;808.35;25.09;0.536;779.16;24.20;0.52
612;COC(=O)c1ccccc1NC(C)=O;840.8;31.53;0.847;820.64;27.42;0.79
613;ClC(C1CCCCC1)=O;676.69;34.68;0.399;676.49;34.88;0.30
614;CCCC(C)c1ccccc1;672.02;26.38;0.405;670.32;26.59;0.39
615;c(ccc1sn2)cc1c2;768.66;52.51;0.379;780.63;51.22;0.27
616;c1nc2cc[nH]c2cc1;821.61;19.27;0.667;806.39;48.17;0.43
617;n1cc2nc[nH]c2cc1;821.61;19.27;0.667;810.03;53.64;0.48
618;CCCCCCCCCC1OC(CCC1)=O;821.61;19.27;0.667;740.60;18.79;0.70
619;CC1(C)N=NC(C)(C)C1;718.52;38.34;0.328;633.77;27.90;0.25
620;C1CC2N=NC1C2;676.3;52.89;0.338;728.89;42.87;0.22
621;Clc1ccc(cc1)S(=O)(=O)NS(c(cc1)ccc1Cl)(=O)=O;686.76;16.39;0.764;935.79;41.08;0.55
622;FC(F)(F)C(F)(F)C(F)(Cl)Cl;474.79;27.8;0.326;443.60;26.90;0.31
623;c(ccc1no2)cc1n2;823;38.12;0.526;780.37;57.13;0.53
624;c(ccc1ns2)cc1n2;840.8;37.43;0.484;782.81;48.82;0.35
625;c1nc2nc[nH]c2cc1;729.76;52.28;0.417;816.50;54.25;0.46
626;c1nc2nn[nH]c2cn1;729.76;52.28;0.417;839.71;53.42;0.54
627;c1cc2ncoc2cc1;729.76;52.28;0.417;751.45;51.79;0.32
628;c(ccc1on2)cc1n2;776.1;60.47;0.47;789.40;54.98;0.48
629;FC(F)CC(F)(F)Cl;479.75;32.09;0.388;483.53;36.49;0.41
630;CNCC(F)(F)F;470.78;34.59;0.418;495.34;35.64;0.33
631;FC(F)(F)c1cc(ccc1)N1N=CC(NC)=C(Cl)C1=O;938.33;27.63;0.912;753.79;26.93;0.63
632;CCC(CC)C(Cl)=O;622.09;32.63;0.453;604.05;31.74;0.35
633;CCCC=C(C)C;543.19;28.2;0.364;544.65;27.76;0.31
634;C(Oc1cc2)Oc1cc2;711.7;44.96;0.41;761.94;50.53;0.34
635;c1cc2cccn2cc1;705.51;41.45;0.403;747.40;46.90;0.33
636;c1cc2cc[nH]c2nc1;684.82;29.99;0.539;803.88;47.70;0.47
637;NCc1cc(C(F)(F)F)ccc1;684.82;29.99;0.539;628.36;28.29;0.45
638;COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO;888.32;11.29;0.607;951.70;9.65;1.13
639;N#CCc1occc1;712.78;39.22;0.482;686.75;39.27;0.63
640;Cc1sc(C)nn1;728.34;54.79;0.371;657.03;46.86;0.35
641;c1ccc2cccc2cc1;668.66;39.94;0.349;741.39;38.82;0.35
642;NCCOCCN;693.92;43.47;0.592;674.28;47.70;0.56
643;CC(C)CCCCCOC(=O)c1ccccc1C(OCCCCCC(C)C)=O;868.16;12.18;0.928;849.75;11.48;1.10
644;CCCCCCCCCCCC(=O)NC;826.3;18.16;0.904;788.90;17.65;0.73
645;CC1=CC(CC1)=O;708.91;46.49;0.332;675.09;43.52;0.29
646;NCC1=CC(=O)NO1;801.22;64.58;0.648;814.03;59.59;0.80
